,Date,Name,Duration,Distance,Speed,UpHill,DownHill
39,2023-07-04,רכיבת ערב עם אמרי 4.7.23,1.98,35.79,18.1,315,303
40,2023-07-01,Road Ride,2.52,39.96,15.9,298,296
41,2023-06-29,Road Ride,1.83,34.16,18.7,247,263
42,2023-06-26,דרך מנדטורית. זולה יסודות וחזרה,2.35,39.75,16.9,374,361
43,2023-06-26,הדרך המנדטורית כפר מנחם,1.81,32.17,17.8,265,271
44,2023-06-24,גדרה-גבעת ברנר-מזכרת בתיה-תל יאקוט-גדרה,2.45,36.8,15.0,310,305
45,2023-06-22,Road Ride,1.37,24.58,18.0,204,200
46,2023-06-18,Road Ride,1.13,21.4,18.9,211,205
47,2023-06-17,Road Ride חולדה משמר דוד זולה וחזרה,1.7,29.18,17.2,305,322
48,2023-06-17,Road Ride,0.81,13.86,17.1,116,123
49,2023-06-14,Road Ride,1.11,20.43,18.4,186,189
50,2023-06-10,Road Ride ךסיבוב הזולה הארו,2.03,33.47,16.5,301,296
51,2023-06-07,Road Ride,1.13,20.75,18.4,189,182
52,2023-06-03,Road Ride,2.4,38.13,15.9,322,339
53,2023-06-01,Road Ride,1.2,22.34,18.6,186,197
54,2023-05-30,רגיל חזרה דרך קידרון,1.18,22.56,19.1,227,229
55,2023-05-27,יער הקדושים לירושלים 2023,3.67,44.18,12.0,993,519
56,2023-05-24,Road Ride,1.01,20.82,20.7,164,169
57,2023-05-20,תל גזר ועין ירדא,3.3,51.77,15.7,483,490
58,2023-05-16,Road Ride,1.18,21.32,18.0,191,185
59,2023-05-13,Road Ride,2.06,35.25,17.1,344,346
60,2023-05-08,Road Ride,1.14,21.44,18.8,232,240
61,2023-05-06,Road Ride,2.45,36.56,14.9,366,342
62,2023-05-05,Road Ride,0.48,8.48,17.5,90,83
63,2023-05-03,Road Ride,1.86,31.9,17.2,320,313
64,2023-04-30,Road Ride,1.3,22.28,17.1,189,186
65,2023-04-28,Road Ride,3.47,62.45,18.0,607,821
66,2023-04-25,Road Ride,2.82,44.85,15.9,513,523
67,2023-04-22,Road Ride,2.1,34.01,16.2,343,344
68,2023-04-20,Road Ride,1.28,22.18,17.4,190,185
69,2023-04-19,Road Ride,1.27,22.16,17.4,218,218
